"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "PostCSS", "YAML", "JavaScript", "Docker", "Markdown", "comment", "blank", "total"
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 16, 0, 25, 16, 57
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 21, 60
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\docker-compose.prod.yaml", "YAML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 2, 32
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\docker-compose.yaml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 1, 34
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\package-lock.json", "JSON", 0, 10719, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10720
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\package.json", "JSON", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\public\css\style.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ortiz\Desktop\curso\NEST\secciones-Curso\03-pokedex\public\index.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
